asciiname,population,location,coord
Zhangjiakou,692602,https://www.google.com/maps/?q,"40.81,114.87944"
Zigong,689961,https://www.google.com/maps/?q,"29.34162,104.77689"
Fuxin,689050,https://www.google.com/maps/?q,"42.01556,121.65889"
Huangshi,688090,https://www.google.com/maps/?q,"30.24706,115.04814"
Liaoyang,687890,https://www.google.com/maps/?q,"41.27194,123.17306"
Xiangtan,674189,https://www.google.com/maps/?q,"27.85,112.9"
Puyang Chengguanzhen,666322,https://www.google.com/maps/?q,"35.70506,115.01409"
Nantong,666251,https://www.google.com/maps/?q,"32.03028,120.87472"
Mudanjiang,665915,https://www.google.com/maps/?q,"44.58333,129.6"
Guilin,649352,https://www.google.com/maps/?q,"25.28194,110.28639"
Zhanjiang,637790,https://www.google.com/maps/?q,"21.28145,110.34271"
Zhenjiang,632552,https://www.google.com/maps/?q,"32.21086,119.45508"
Dandong,631973,https://www.google.com/maps/?q,"40.12917,124.39472"
Shaoguan,628749,https://www.google.com/maps/?q,"24.8,113.58333"
Yancheng,628441,https://www.google.com/maps/?q,"33.3575,120.1573"
Panshan,625040,https://www.google.com/maps/?q,"41.18806,122.04944"
Haikou,615835,https://www.google.com/maps/?q,"20.04583,110.34167"
Taizhou,612356,https://www.google.com/maps/?q,"32.49069,119.90812"
Xingtai,611739,https://www.google.com/maps/?q,"37.06306,114.49417"
Jinzhou,604269,https://www.google.com/maps/?q,"41.10778,121.14167"
Shuangyashan,600000,https://www.google.com/maps/?q,"46.63611,131.15389"
Luancheng,597130,https://www.google.com/maps/?q,"37.87917,114.65167"
Yingkou,591159,https://www.google.com/maps/?q,"40.66482,122.22833"
Zhangzhou,589831,https://www.google.com/maps/?q,"24.51333,117.65556"
Bengbu,576648,https://www.google.com/maps/?q,"32.94083,117.36083"
Shihezi,572772,https://www.google.com/maps/?q,"44.3023,86.03694"
Siping,555609,https://www.google.com/maps/?q,"43.16143,124.37785"
Huai'an,555230,https://www.google.com/maps/?q,"33.58861,119.01917"
Jiamusi,549549,https://www.google.com/maps/?q,"46.79927,130.31633"
Neijiang,546854,https://www.google.com/maps/?q,"29.58354,105.06216"
Yangzhou,539715,https://www.google.com/maps/?q,"32.39722,119.43583"
Guli,536000,https://www.google.com/maps/?q,"28.88162,120.03308"
Tanggu,535298,https://www.google.com/maps/?q,"39.02111,117.64694"
Jiangmen,532419,https://www.google.com/maps/?q,"22.58333,113.08333"
Cangzhou,527681,https://www.google.com/maps/?q,"38.31667,116.86667"
Changde,517780,https://www.google.com/maps/?q,"29.04638,111.6783"
Jiaozuo,517540,https://www.google.com/maps/?q,"35.23972,113.23306"
Tonghua,510000,https://www.google.com/maps/?q,"41.71972,125.92639"
Wuhu,507524,https://www.google.com/maps/?q,"31.33728,118.37351"
Zhuhai,501199,https://www.google.com/maps/?q,"22.27694,113.56778"
Shashi,498780,https://www.google.com/maps/?q,"30.30722,112.24472"
Wuwei,493092,https://www.google.com/maps/?q,"37.92672,102.63202"
Qionghai,480000,https://www.google.com/maps/?q,"19.2425,110.46417"
Yichang,476725,https://www.google.com/maps/?q,"30.71444,111.28472"
Yinchuan,475101,https://www.google.com/maps/?q,"38.46806,106.27306"
Jiaojiang,470804,https://www.google.com/maps/?q,"28.69844,121.47331"
